Product,Rank,RecommendedProduct,Similarity,SharedCustomers
10 COLOUR SPACEBOY PEN,1,PLASTERS IN TIN SPACEBOY,0.2881300074472757,56
10 COLOUR SPACEBOY PEN,2,MAGIC DRAWING SLATE SPACEBOY,0.27512644785893925,43
10 COLOUR SPACEBOY PEN,3,SPACEBOY LUNCH BOX,0.2608870438693508,52
10 COLOUR SPACEBOY PEN,4,SPACEBOY BIRTHDAY CARD,0.2504668698908842,44
10 COLOUR SPACEBOY PEN,5,LUNCH BAG SPACEBOY DESIGN,0.24039760619122663,64
12 COLOURED PARTY BALLOONS,1,SET OF 9 BLACK SKULL BALLOONS,0.34145597153698537,42
12 COLOURED PARTY BALLOONS,2,BALLOON PUMP WITH 10 BALLOONS,0.33587992217225193,34
12 COLOURED PARTY BALLOONS,3,6 ROCKET BALLOONS,0.33044491046361546,30
12 COLOURED PARTY BALLOONS,4,SET OF 9 HEART SHAPED BALLOONS,0.3238964615266524,38
12 COLOURED PARTY BALLOONS,5,BALLOON WATER BOMB PACK OF 35,0.26012981615789155,25
12 DAISY PEGS IN WOOD BOX,1,DROP DIAMANTE EARRINGS PURPLE,0.26311817757949707,1
12 DAISY PEGS IN WOOD BOX,2,HEN HOUSE W FAMILY IN BARN & NEST,0.2594224090646604,2
12 DAISY PEGS IN WOOD BOX,3,DAISY JOURNAL,0.25887732912066763,4
12 DAISY PEGS IN WOOD BOX,4,BLUE BLOSSOM HAIR CLIP,0.2561551248785394,2
12 DAISY PEGS IN WOOD BOX,5,STAR  T-LIGHT HOLDER,0.25328717250492394,3
12 EGG HOUSE PAINTED WOOD,1,SHOE SHINE BOX,0.38781931031685435,7
12 EGG HOUSE PAINTED WOOD,2,6 EGG HOUSE PAINTED WOOD,0.37777569866963656,19
12 EGG HOUSE PAINTED WOOD,3,HEN HOUSE W FAMILY IN BARN & NEST,0.3666407280288302,2
