CustomerKey,LastPurchase,FirstPurchase,FrequencyOrders,MonetaryValue,UnitsPurchased,ActiveMonths,Country,RecencyDays,AverageOrderValue,TenureDays,PurchaseCadenceDays,Cluster,Segment
12346,2023-01-18 10:01:00,2023-01-18 10:01:00,1,77183.6,74215,1,United Kingdom,326,77183.6,0,,1,Loyal Growth
12347,2023-12-07 15:52:00,2022-12-07 14:57:00,7,4310.0,2458,7,Iceland,3,615.7142857142857,365,60.833333333333336,2,Champions
12348,2023-09-25 13:13:00,2022-12-16 19:09:00,4,1797.24,2341,4,Finland,76,449.31,282,94.0,1,Loyal Growth
12349,2023-11-21 09:51:00,2023-11-21 09:51:00,1,1757.55,631,1,Italy,19,1757.55,0,,0,Occasional
12350,2023-02-02 16:01:00,2023-02-02 16:01:00,1,334.4,197,1,Norway,311,334.4,0,,3,At Risk
12352,2023-11-03 14:37:00,2023-02-16 12:33:00,8,2506.04,536,4,Norway,37,313.255,260,37.142857142857146,1,Loyal Growth
12353,2023-05-19 17:47:00,2023-05-19 17:47:00,1,89.0,20,1,Bahrain,205,89.0,0,,3,At Risk
12354,2023-04-21 13:11:00,2023-04-21 13:11:00,1,1079.4,530,1,Spain,233,1079.4,0,,3,At Risk
12355,2023-05-09 13:49:00,2023-05-09 13:49:00,1,459.4,240,1,Bahrain,215,459.4,0,,3,At Risk
12356,2023-11-17 08:40:00,2023-01-18 09:50:00,3,2811.43,1591,3,Portugal,23,937.1433333333333,302,151.0,1,Loyal Growth
12357,2023-11-06 16:07:00,2023-11-06 16:07:00,1,6207.67,2708,1,Switzerland,34,6207.67,0,,1,Loyal Growth
12358,2023-12-08 10:26:00,2023-07-12 10:04:00,2,1168.06,248,2,Austria,2,584.03,149,149.0,0,Occasional
12359,2023-10-13 12:47:00,2023-01-12 12:43:00,4,6310.03,1609,4,Cyprus,58,1577.5075,274,91.33333333333333,1,Loyal Growth
12360,2023-10-18 15:22:00,2023-05-23 09:43:00,3,2662.06,1165,3,Austria,53,887.3533333333334,148,74.0,1,Loyal Growth
12361,2023-02-25 13:51:00,2023-02-25 13:51:00,1,189.9,91,1,Belgium,288,189.9,0,,3,At Risk
12362,2023-12-06 15:40:00,2023-02-17 10:30:00,10,5226.23,2229,8,Belgium,4,522.6229999999999,292,32.44444444444444,2,Champions
12363,2023-08-22 10:18:00,2023-04-11 13:29:00,2,552.0,408,2,Unspecified,110,276.0,132,132.0,3,At Risk
12364,2023-12-02 10:22:00,2023-08-19 15:24:00,4,1313.1,1506,4,Belgium,8,328.275,104,34.666666666666664,0,Occasional
12365,2023-02-21 14:04:00,2023-02-21 13:51:00,2,641.38,174,1,Cyprus,292,320.69,0,0.0,3,At Risk
12367,2023-12-05 16:48:00,2023-12-05 16:48:00,1,168.9,173,1,Denmark,5,168.9,0,,0,Occasional
12370,2023-10-19 14:51:00,2022-12-14 12:58:00,4,3541.94,2352,3,Cyprus,52,885.4849999999999,309,103.0,1,Loyal Growth
12371,2023-10-26 10:16:00,2023-10-11 10:43:00,2,1887.96,591,1,Switzerland,45,943.98,14,14.0,1,Loyal Growth
12372,2023-09-29 12:12:00,2023-02-16 12:46:00,3,1298.04,794,3,Denmark,72,432.68,224,112.0,1,Loyal Growth
12373,2023-02-01 13:10:00,2023-02-01 13:10:00,1,364.6,197,1,Austria,312,364.6,0,,3,At Risk
