CountryClean,Orders,Customers,Revenue,ReturnValue,RevenueSharePct
United Kingdom,18019,5293,9001744.09,812491.79,84.59
Netherlands,94,9,285446.34,784.8,2.68
EIRE,288,31,283140.52,20147.14,2.66
Germany,457,94,228678.4,7168.93,2.15
France,392,90,209625.37,12308.26,1.97
Australia,57,9,138453.81,1444.04,1.3
Spain,90,30,61558.56,6802.53,0.58
Switzerland,54,24,57067.6,704.55,0.54
Belgium,98,25,41196.34,285.38,0.39
Sweden,36,8,38367.83,1782.42,0.36
Japan,19,8,37416.37,2075.75,0.35
Norway,36,10,36165.44,1001.98,0.34
Portugal,58,20,33683.05,4380.08,0.32
Finland,41,12,22546.08,219.34,0.21
Singapore,7,1,21279.29,12158.9,0.2
Channel Islands,26,9,20440.54,364.15,0.19
Denmark,18,9,18955.34,187.2,0.18
Italy,38,14,17483.24,592.73,0.16
Hong Kong,11,11,15483.0,5574.76,0.15
Cyprus,16,8,13502.85,644.09,0.13
Austria,17,11,10198.68,44.36,0.1
Israel,8,6,8129.41,227.44,0.08
Poland,19,6,7334.65,121.51,0.07
Greece,5,4,4760.52,50.0,0.04
Unspecified,13,9,4740.94,0.0,0.04
Iceland,7,1,4310.0,0.0,0.04
Canada,6,4,3666.38,0.0,0.03
USA,5,4,3580.39,1849.47,0.03
Malta,5,2,2725.59,220.12,0.03
United Arab Emirates,3,2,1902.28,0.0,0.02
Lebanon,1,1,1693.88,0.0,0.02
Lithuania,4,1,1661.06,0.0,0.02
European Community,4,1,1300.25,8.5,0.01
Brazil,1,1,1143.6,0.0,0.01
RSA,1,1,1002.31,0.0,0.01
Czech Republic,2,1,826.74,119.02,0.01
Bahrain,3,3,754.14,205.74,0.01
Saudi Arabia,1,1,145.92,14.75,0.0
