YearMonth,Orders,Revenue,ReturnValue,NetRevenue
2023-11,2769,1503866.78,47720.98,1456145.8
2023-10,2040,1151263.73,81895.5,1069368.23
2023-09,1837,1056435.19,38838.51,1017596.68
2022-12,1559,821452.73,74729.12,746723.61
2023-05,1681,769296.61,47202.51,722094.1
2023-06,1533,760547.01,70569.78,689977.23
2023-08,1361,757841.38,54330.8,703510.58
2023-07,1475,718076.12,37919.13,680156.99
2023-03,1454,716215.26,34201.28,682013.98
2023-01,1086,689811.61,131363.05,558448.56
2023-12,819,637790.33,205089.27,432701.06
2023-04,1246,536968.49,44600.65,492367.84
2023-02,1100,522545.56,25519.15,497026.41
