DescriptionClean,UnitsSold,Orders,Customers,Revenue
REGENCY CAKESTAND 3 TIER,13851,1988,1166,174156.54
WHITE HANGING HEART T-LIGHT HOLDER,37872,2256,1141,106236.72
PARTY BUNTING,18283,1685,1014,99445.23
JUMBO BAG RED RETROSPOT,48371,2089,1124,94159.81
MEDIUM CERAMIC TOP STORAGE JAR,78033,247,190,81700.92
RABBIT NIGHT LIGHT,30739,994,643,66870.03
PAPER CHAIN KIT 50'S CHRISTMAS,19329,1160,793,64875.59
ASSORTED COLOUR BIRD ORNAMENT,36362,1455,758,58927.62
CHILLI LIGHTS,10302,661,347,54096.36
SPOTTY BUNTING,8320,1140,708,42513.48
JUMBO BAG PINK POLKADOT,21448,1218,719,42401.01
BLACK RECORD COVER FRAME,11651,375,202,40633.38
DOORMAT KEEP CALM AND COME IN,5487,728,458,38133.64
SET OF 3 CAKE TINS PANTRY DESIGN,7483,1385,879,38108.89
JAM MAKING SET WITH JARS,8695,1132,827,37082.13
WOOD BLACK BOARD ANT WHITE FINISH,6012,685,366,35966.92
LUNCH BAG RED RETROSPOT,19232,1564,808,35572.36
POPCORN HOLDER,36749,803,466,34288.67
VICTORIAN GLASS HANGING T-LIGHT,24275,1037,625,33146.82
HOT WATER BOTTLE TEA AND SYMPATHY,5740,643,454,32973.44
PAPER CHAIN KIT VINTAGE CHRISTMAS,10594,820,593,32843.84
CHOCOLATE HOT WATER BOTTLE,6017,858,540,32826.58
JUMBO BAG STRAWBERRY,17283,822,483,32727.65
HEART OF WICKER SMALL,17963,1201,813,32094.6
SET OF 3 REGENCY CAKE TINS,6345,873,627,31118.55
