DescriptionClean,UnitsSold,Revenue,Customers,RevenuePerUnit
REGENCY CAKESTAND 3 TIER,13851,174156.54,1166,12.57
WHITE HANGING HEART T-LIGHT HOLDER,37872,106236.72,1141,2.81
PARTY BUNTING,18283,99445.23,1014,5.44
JUMBO BAG RED RETROSPOT,48371,94159.81,1124,1.95
MEDIUM CERAMIC TOP STORAGE JAR,78033,81700.92,190,1.05
RABBIT NIGHT LIGHT,30739,66870.03,643,2.18
PAPER CHAIN KIT 50'S CHRISTMAS,19329,64875.59,793,3.36
ASSORTED COLOUR BIRD ORNAMENT,36362,58927.62,758,1.62
CHILLI LIGHTS,10302,54096.36,347,5.25
SPOTTY BUNTING,8320,42513.48,708,5.11
JUMBO BAG PINK POLKADOT,21448,42401.01,719,1.98
BLACK RECORD COVER FRAME,11651,40633.38,202,3.49
DOORMAT KEEP CALM AND COME IN,5487,38133.64,458,6.95
SET OF 3 CAKE TINS PANTRY DESIGN,7483,38108.89,879,5.09
JAM MAKING SET WITH JARS,8695,37082.13,827,4.26
WOOD BLACK BOARD ANT WHITE FINISH,6012,35966.92,366,5.98
LUNCH BAG RED RETROSPOT,19232,35572.36,808,1.85
POPCORN HOLDER,36749,34288.67,466,0.93
VICTORIAN GLASS HANGING T-LIGHT,24275,33146.82,625,1.37
HOT WATER BOTTLE TEA AND SYMPATHY,5740,32973.44,454,5.74
PAPER CHAIN KIT VINTAGE CHRISTMAS,10594,32843.84,593,3.1
CHOCOLATE HOT WATER BOTTLE,6017,32826.58,540,5.46
JUMBO BAG STRAWBERRY,17283,32727.65,483,1.89
HEART OF WICKER SMALL,17963,32094.6,813,1.79
SET OF 3 REGENCY CAKE TINS,6345,31118.55,627,4.9
JUMBO STORAGE BAG SUKI,13651,30764.01,743,2.25
ALARM CLOCK BAKELIKE RED,7800,30644.87,562,3.93
JUMBO BAG APPLES,14908,30450.69,604,2.04
HEART OF WICKER LARGE,9887,30098.11,609,3.04
CHARLOTTE BAG SUKI DESIGN,18124,29254.15,546,1.61
ROSES REGENCY TEACUP AND SAUCER,9864,29056.92,705,2.95
HOT WATER BOTTLE KEEP CALM,5816,28718.8,537,4.94
JUMBO SHOPPER VINTAGE RED PAISLEY,12574,28577.1,760,2.27
DOORMAT RED RETROSPOT,4088,28049.54,449,6.86
JUMBO  BAG BAROQUE BLACK WHITE,13900,28047.74,590,2.02
NATURAL SLATE HEART CHALKBOARD,9119,27991.61,869,3.07
JUMBO BAG ALPHABET,13366,27850.83,550,2.08
ALARM CLOCK BAKELIKE GREEN,6419,27155.28,513,4.23
ROTATING SILVER ANGELS T-LIGHT HLDR,9461,26425.58,336,2.79
RED  HARMONICA IN BOX,21903,26294.08,449,1.2
RECIPE BOX PANTRY YELLOW DESIGN,8269,26219.95,754,3.17
GIN + TONIC DIET METAL SIGN,11709,25792.47,434,2.2
SPACEBOY LUNCH BOX,14249,25719.02,518,1.8
JAM MAKING SET PRINTED,16396,25637.78,831,1.56
DOORMAT UNION FLAG,3751,25534.15,413,6.81
PLEASE ONE PERSON METAL SIGN,12274,25225.48,512,2.06
REGENCY TEAPOT ROSES,2766,24879.13,310,8.99
VINTAGE UNION JACK BUNTING,2787,24525.83,351,8.8
JUMBO BAG VINTAGE DOILY,11448,24489.08,453,2.14
SCOTTIE DOG HOT WATER BOTTLE,4655,24455.39,540,5.25
SET OF 6 SPICE TINS PANTRY DESIGN,5966,24436.26,574,4.1
ROUND SNACK BOXES SET OF4 WOODLAND,8535,24364.87,418,2.85
BAKING SET 9 PIECE RETROSPOT,4937,24185.27,661,4.9
DOORMAT NEW ENGLAND,3807,24108.39,383,6.33
RED TOADSTOOL LED NIGHT LIGHT,14001,23919.78,593,1.71
DOORMAT FAIRY CAKE,3615,23872.91,267,6.6
JUMBO BAG 50'S CHRISTMAS,10285,23772.07,521,2.31
EDWARDIAN PARASOL NATURAL,4077,23737.97,346,5.82
SET OF TEA COFFEE SUGAR TINS PANTRY,4800,23489.42,360,4.89
CREAM HEART CARD HOLDER,8284,23435.82,346,2.83
RED HANGING HEART T-LIGHT HOLDER,7872,23199.24,447,2.95
JUMBO BAG PINK VINTAGE PAISLEY,11006,23179.06,571,2.11
WOODEN PICTURE FRAME WHITE FINISH,8986,23057.06,634,2.57
JUMBO BAG OWLS,11429,23001.06,453,2.01
VINTAGE UNION JACK MEMOBOARD,3269,22980.24,155,7.03
RETROSPOT TEA SET CERAMIC 11 PC,4518,22868.26,627,5.06
PAPER BUNTING RETROSPOT,7562,22785.06,556,3.01
GREEN REGENCY TEACUP AND SAUCER,7278,22755.5,709,3.13
CREAM SWEETHEART MINI CHEST,1784,22594.2,363,12.66
LUNCH BAG  BLACK SKULL.,12195,22346.96,679,1.83
DOORMAT HEARTS,3416,22114.42,398,6.47
JUMBO BAG WOODLAND ANIMALS,9773,22092.42,619,2.26
RED WOOLLY HOTTIE WHITE HEART.,4734,22025.73,336,4.65
WOODEN FRAME ANTIQUE WHITE,6999,21811.09,552,3.12
JUMBO BAG VINTAGE LEAF,10941,21810.43,484,1.99
RED RETROSPOT CHARLOTTE BAG,17761,21773.39,628,1.23
LUNCH BAG CARS BLUE,11786,21699.48,663,1.84
DOLLY GIRL LUNCH BOX,11780,21609.79,521,1.83
DOORMAT FANCY FONT HOME SWEET HOME,3245,21593.74,308,6.65
RED RETROSPOT CAKE STAND,2012,21354.3,378,10.61
PACK OF 72 RETROSPOT CAKE CASES,36396,21246.45,926,0.58
COOK WITH WINE METAL SIGN,10324,20874.44,408,2.02
LUNCH BAG APPLE DESIGN,12147,20852.58,571,1.72
LUNCH BOX I LOVE LONDON,11504,20781.65,416,1.81
ALARM CLOCK BAKELIKE PINK,5356,20672.15,461,3.86
WHITE SKULL HOT WATER BOTTLE,3915,20582.2,373,5.26
ANTIQUE SILVER T-LIGHT GLASS,14664,19381.62,503,1.32
PICNIC BASKET WICKER LARGE,1602,19302.26,375,12.05
ROUND SNACK BOXES SET OF 4 FRUITS,6835,19094.97,350,2.79
GUMBALL COAT RACK,7926,18798.67,373,2.37
HOMEMADE JAM SCENTED CANDLES,12520,18771.15,557,1.5
LUNCH BAG SUKI DESIGN,10301,18699.43,584,1.82
ASSORTED COLOURS SILK FAN,23826,18569.84,388,0.78
LUNCH BAG WOODLAND,9909,18283.78,569,1.85
FAIRY CAKE FLANNEL ASSORTED COLOUR,10241,18056.28,230,1.76
LUNCH BAG SPACEBOY DESIGN,10427,18031.31,659,1.73
GROW A FLYTRAP OR SUNFLOWER IN TIN,16244,17927.45,233,1.1
HOT WATER BOTTLE I AM SO POORLY,3441,17892.96,468,5.2
HAND WARMER OWL DESIGN,8439,17786.13,457,2.11
RETROSPOT HEART HOT WATER BOTTLE,3524,17663.98,461,5.01
SET/5 RED RETROSPOT LID GLASS BOWLS,6073,17623.35,472,2.9
PINK REGENCY TEACUP AND SAUCER,5788,17445.56,528,3.01
LUNCH BAG PINK POLKADOT,10487,17388.99,603,1.66
JUMBO BAG DOILEY PATTERNS,8893,17268.69,359,1.94
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,8411,17239.69,443,2.05
6 RIBBONS RUSTIC CHARM,9172,17186.62,642,1.87
JUMBO BAG SPACEBOY DESIGN,8666,17071.59,456,1.97
COLOUR GLASS. STAR T-LIGHT HOLDER,5736,17069.7,188,2.98
SMALL POPCORN HOLDER,20149,17045.8,414,0.85
HOT BATHS METAL SIGN,7258,16946.26,430,2.33
MINI PAINT SET VINTAGE,26633,16937.82,268,0.64
HOME BUILDING BLOCK WORD,2759,16923.47,446,6.13
EDWARDIAN PARASOL BLACK,2931,16915.72,234,5.77
CHILDRENS CUTLERY POLKADOT PINK,3951,16865.97,308,4.27
WOODLAND CHARLOTTE BAG,13290,16744.45,540,1.26
SET OF 4 PANTRY JELLY MOULDS,12649,16478.48,638,1.3
HANGING HEART JAR T-LIGHT HOLDER,12493,16453.78,460,1.32
IVORY KITCHEN SCALES,1883,16378.71,467,8.7
SET/4 WHITE RETRO STORAGE CUBES,415,16363.3,128,39.43
GARDENERS KNEELING PAD KEEP CALM,8807,16327.35,562,1.85
KNITTED UNION FLAG HOT WATER BOTTLE,3319,16148.04,351,4.87
HAND OVER THE CHOCOLATE   SIGN,8246,15928.73,357,1.93
VINTAGE CHRISTMAS BUNTING,2990,15798.66,296,5.28
RECYCLING BAG RETROSPOT,6896,15607.59,528,2.26
WOOD 2 DRAWER CABINET WHITE FINISH,2386,15123.92,275,6.34
PAPER CHAIN KIT EMPIRE,5181,15099.37,339,2.91
SET 2 TEA TOWELS I LOVE LONDON,4907,14938.43,359,3.04
SET 7 BABUSHKA NESTING BOXES,1787,14427.97,271,8.07
HAND WARMER SCOTTY DOG DESIGN,6611,14366.52,406,2.17
BREAD BIN DINER STYLE IVORY,901,14329.54,248,15.9
DOORMAT ENGLISH ROSE,2035,14300.15,278,7.03
MEMO BOARD RETROSPOT  DESIGN,2960,14193.35,341,4.8
JUMBO BAG PEARS,7067,14188.96,387,2.01
STRAWBERRY CERAMIC TRINKET BOX,10473,14117.58,495,1.35
RED KITCHEN SCALES,1620,14082.2,390,8.69
HAND WARMER BIRD DESIGN,6433,14061.89,413,2.19
