DescriptionClean,GrossRevenue,ReturnValue,ReturnValueRatePct,ReturnInvoices
"PAPER CRAFT , LITTLE BIRDIE",168469.6,168469.6,100.0,1
MEDIUM CERAMIC TOP STORAGE JAR,81700.92,77479.64,94.83,10
REGENCY CAKESTAND 3 TIER,174156.54,9697.05,5.57,180
WHITE HANGING HEART T-LIGHT HOLDER,106236.72,6624.3,6.24,42
FAIRY CAKE FLANNEL ASSORTED COLOUR,18056.28,6591.42,36.5,3
PANTRY CHOPPING BOARD,5868.5,4803.06,81.84,6
DOORMAT FAIRY CAKE,23872.91,4554.9,19.08,3
GIN + TONIC DIET METAL SIGN,25792.47,3775.33,14.64,7
TEA TIME PARTY BUNTING,12926.42,3692.95,28.57,7
FELTCRAFT DOLL MOLLY,12001.59,3512.65,29.27,5
COLOUR GLASS. STAR T-LIGHT HOLDER,17069.7,3246.16,19.02,24
IVORY DINER WALL CLOCK,11911.65,2653.7,22.28,16
RED RETROSPOT CAKE STAND,21354.3,2480.5,11.62,42
JUMBO BAG RED RETROSPOT,94159.81,1984.02,2.11,43
FLOWERS CHANDELIER T-LIGHT HOLDER,2879.37,1859.07,64.57,7
VINTAGE RED KITCHEN CABINET,8125.0,1730.5,21.3,8
ROUND SNACK BOXES SET OF 4 FRUITS,19094.97,1691.5,8.86,16
HOT WATER BOTTLE I AM SO POORLY,17892.96,1679.7,9.39,6
3 TIER CAKE TIN RED AND CREAM,9765.11,1671.6,17.12,14
DOORMAT KEEP CALM AND COME IN,38133.64,1601.25,4.2,7
CINDERELLA CHANDELIER,3717.56,1514.05,40.73,10
PINK BLUE FELT CRAFT TRINKET BOX,13828.1,1405.01,10.16,4
JUMBO BAG APPLES,30450.69,1309.25,4.3,21
SET OF 3 BABUSHKA STACKING TINS,1356.3,1258.05,92.76,6
SET/4 WHITE RETRO STORAGE CUBES,16363.3,1248.25,7.63,8
WOOD 2 DRAWER CABINET WHITE FINISH,15123.92,1225.85,8.11,40
PARTY BUNTING,99445.23,1201.35,1.21,20
REVOLVER WOODEN RULER,10373.99,1193.4,11.5,8
GIRAFFE WOODEN RULER,7604.89,1185.9,15.59,6
PAPER CHAIN KIT 50'S CHRISTMAS,64875.59,1160.35,1.79,10
