CountryClean,GrossRevenue,ReturnValue,ReturnValueRatePct,ReturnInvoices
United Kingdom,9001744.09,812491.79,9.03,3372
EIRE,283140.52,20147.14,7.12,72
France,209625.37,12308.26,5.87,69
Singapore,21279.29,12158.9,57.14,3
Germany,228678.4,7168.93,3.13,146
Spain,61558.56,6802.53,11.05,15
Hong Kong,15483.0,5574.76,36.01,4
Portugal,33683.05,4380.08,13.0,13
Japan,37416.37,2075.75,5.55,9
Sweden,38367.83,1782.42,4.65,10
Australia,138453.81,1444.04,1.04,12
Norway,36165.44,1001.98,2.77,4
Netherlands,285446.34,784.8,0.27,6
Switzerland,57067.6,704.55,1.23,20
Cyprus,13502.85,644.09,4.77,4
Italy,17483.24,592.73,3.39,17
Channel Islands,20440.54,364.15,1.78,7
Belgium,41196.34,285.38,0.69,21
Israel,8129.41,227.44,2.8,1
Finland,22546.08,219.34,0.97,7
Denmark,18955.34,187.2,0.99,3
Poland,7334.65,121.51,1.66,5
Austria,10198.68,44.36,0.43,2
