YearMonth,NewCustomerRevenue,RepeatCustomerRevenue,NewCustomers,RepeatCustomers
2022-12,570422.73,0.0,885,0
2023-01,292366.84,275734.47,417,324
2023-02,157700.59,288384.33,380,378
2023-03,199619.67,394462.09,452,522
2023-04,121809.05,346565.28,300,556
2023-05,123739.3,553615.85,284,772
2023-06,135414.8,524631.25,242,749
2023-07,73860.4,525102.5,188,761
2023-08,79601.14,564449.9,169,766
2023-09,154734.09,795956.11,299,967
2023-10,173425.19,862217.26,358,1006
2023-11,135131.33,1021074.28,323,1341
2023-12,27005.46,490184.98,41,574
