Product,Rank,RecommendedProduct,Similarity,SharedCustomers
10 COLOUR SPACEBOY PEN,1,PLASTERS IN TIN SPACEBOY,0.2881,56
10 COLOUR SPACEBOY PEN,2,MAGIC DRAWING SLATE SPACEBOY,0.2751,43
10 COLOUR SPACEBOY PEN,3,SPACEBOY LUNCH BOX,0.2609,52
10 COLOUR SPACEBOY PEN,4,SPACEBOY BIRTHDAY CARD,0.2505,44
10 COLOUR SPACEBOY PEN,5,LUNCH BAG SPACEBOY DESIGN,0.2404,64
12 COLOURED PARTY BALLOONS,1,SET OF 9 BLACK SKULL BALLOONS,0.3415,42
12 COLOURED PARTY BALLOONS,2,BALLOON PUMP WITH 10 BALLOONS,0.3359,34
12 COLOURED PARTY BALLOONS,3,6 ROCKET BALLOONS,0.3304,30
12 COLOURED PARTY BALLOONS,4,SET OF 9 HEART SHAPED BALLOONS,0.3239,38
12 COLOURED PARTY BALLOONS,5,BALLOON WATER BOMB PACK OF 35,0.2601,25
12 DAISY PEGS IN WOOD BOX,1,DROP DIAMANTE EARRINGS PURPLE,0.2631,1
12 DAISY PEGS IN WOOD BOX,2,HEN HOUSE W FAMILY IN BARN & NEST,0.2594,2
12 DAISY PEGS IN WOOD BOX,3,DAISY JOURNAL,0.2589,4
12 DAISY PEGS IN WOOD BOX,4,BLUE BLOSSOM HAIR CLIP,0.2562,2
12 DAISY PEGS IN WOOD BOX,5,STAR  T-LIGHT HOLDER,0.2533,3
12 EGG HOUSE PAINTED WOOD,1,SHOE SHINE BOX,0.3878,7
12 EGG HOUSE PAINTED WOOD,2,6 EGG HOUSE PAINTED WOOD,0.3778,19
12 EGG HOUSE PAINTED WOOD,3,HEN HOUSE W FAMILY IN BARN & NEST,0.3666,2
12 EGG HOUSE PAINTED WOOD,4,DROP DIAMANTE EARRINGS PURPLE,0.3508,1
12 EGG HOUSE PAINTED WOOD,5,ELEPHANT CARNIVAL POUFFE,0.3231,3
12 HANGING EGGS HAND PAINTED,1,BAG OF SILVER STONES,0.3834,1
12 HANGING EGGS HAND PAINTED,2,SUMMER DAISIES BAG CHARM,0.2337,1
12 HANGING EGGS HAND PAINTED,3,PAINT YOUR OWN EGGS IN CRATE,0.1765,2
12 HANGING EGGS HAND PAINTED,4,GARLAND WITH HEARTS AND BELLS,0.1499,2
12 HANGING EGGS HAND PAINTED,5,EGG FRYING PAN BLUE,0.1468,2
12 IVORY ROSE PEG PLACE SETTINGS,1,12 RED ROSE PEG PLACE SETTINGS,0.5019,25
12 IVORY ROSE PEG PLACE SETTINGS,2,12 PINK ROSE PEG PLACE SETTINGS,0.4544,11
12 IVORY ROSE PEG PLACE SETTINGS,3,PLACE SETTING WHITE HEART,0.2743,19
12 IVORY ROSE PEG PLACE SETTINGS,4,RED RETROSPOT OVEN GLOVE DOUBLE,0.2672,18
12 IVORY ROSE PEG PLACE SETTINGS,5,WAY OUT METAL SIGN,0.2558,2
12 MESSAGE CARDS WITH ENVELOPES,1,MAKE YOUR OWN MONSOON CARD KIT,0.2399,25
12 MESSAGE CARDS WITH ENVELOPES,2,CALENDAR PAPER CUT DESIGN,0.2309,32
12 MESSAGE CARDS WITH ENVELOPES,3,WRAP ALPHABET DESIGN,0.2182,27
12 MESSAGE CARDS WITH ENVELOPES,4,BAKING MOULD TOFFEE CUP CHOCOLATE,0.2028,14
12 MESSAGE CARDS WITH ENVELOPES,5,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,0.2,33
12 PENCIL SMALL TUBE WOODLAND,1,12 PENCILS SMALL TUBE RED RETROSPOT,0.3977,95
12 PENCIL SMALL TUBE WOODLAND,2,SET 12 COLOUR PENCILS SPACEBOY,0.37,84
12 PENCIL SMALL TUBE WOODLAND,3,12 PENCILS SMALL TUBE SKULL,0.3674,83
12 PENCIL SMALL TUBE WOODLAND,4,LUNCH BAG WOODLAND,0.2673,74
12 PENCIL SMALL TUBE WOODLAND,5,WOODLAND MINI BACKPACK,0.2575,31
12 PENCILS SMALL TUBE RED RETROSPOT,1,12 PENCILS SMALL TUBE SKULL,0.5635,113
12 PENCILS SMALL TUBE RED RETROSPOT,2,12 PENCIL SMALL TUBE WOODLAND,0.3977,95
12 PENCILS SMALL TUBE RED RETROSPOT,3,SET 12 COLOUR PENCILS SPACEBOY,0.3302,75
12 PENCILS SMALL TUBE RED RETROSPOT,4,SET 12 COLOURING PENCILS DOILY,0.2556,48
12 PENCILS SMALL TUBE RED RETROSPOT,5,SET OF 3 NOTEBOOKS IN PARCEL,0.232,55
12 PENCILS SMALL TUBE SKULL,1,12 PENCILS SMALL TUBE RED RETROSPOT,0.5635,113
12 PENCILS SMALL TUBE SKULL,2,12 PENCIL SMALL TUBE WOODLAND,0.3674,83
12 PENCILS SMALL TUBE SKULL,3,SET 12 COLOUR PENCILS SPACEBOY,0.2351,52
12 PENCILS SMALL TUBE SKULL,4,LUNCH BAG  BLACK SKULL.,0.2262,80
12 PENCILS SMALL TUBE SKULL,5,SET 12 COLOURING PENCILS DOILY,0.2226,41
12 PENCILS TALL TUBE POSY,1,COLOURING PENCILS BROWN TUBE,0.3387,41
12 PENCILS TALL TUBE POSY,2,JAZZ HEARTS ADDRESS BOOK,0.2626,33
12 PENCILS TALL TUBE POSY,3,VINTAGE PAISLEY STATIONERY SET,0.2603,29
12 PENCILS TALL TUBE POSY,4,PENS ASSORTED FUNKY JEWELED,0.2491,18
12 PENCILS TALL TUBE POSY,5,PENS ASSORTED SPACEBALL,0.2481,22
